"","popsize","genotype","media","mat","sd.ls","medianLS","Delta_LL","AvgLS","gompLoglik","gompRate","gompShape","weibLogLik","weibScale","weibShape"
"104","40","BY4741","YPD","MATa","8.11393230412341","17.5","3.41612312601393","19.1","-142.148733106574","0.0127672450802068","0.0946166760670521","-138.73260998056","21.5525074641848","2.55090507861094"
"105","37","BY4742","YPD","MATalpha","8.92452503762229","17","-3.5360342879541","14.7297297297297","-128.605365941031","0.0227823820712908","0.088660625039991","-132.141400228985","16.2679874652311","1.57478271479665"
"106","40","Wild Type","YPD","MATalpha","8.95272483947106","24.5","-1.64767538380855","21.95","-142.577221884148","0.00641932659845522","0.113166753816889","-144.224897267957","24.6180857706508","2.71056698401416"
"107","80","BY4742","YPD","MATalpha","15.2483605676151","24","7.95365721028958","26.2375","-329.20072956415","0.0191797039870358","0.0319708471883863","-321.247072353861","29.7266107388724","1.85909393411581"
"108","39","BY4742","YPD","MATalpha","11.118488329177","19","-1.94472749707361","20.4358974358974","-146.983170641639","0.0168056550554521","0.0644570841176709","-148.927898138712","22.7361545518875","1.80942711923711"
"109","60","BY4742","YPD","MATalpha","6.24660359692971","16","2.57677353396727","15.7833333333333","-198.287522912367","0.0137455805581036","0.125591090663374","-195.7107493784","17.6440988516555","2.66258192112626"
"110","40","BY4742","YPD","MATalpha","6.52013646231269","17","1.29148787783026","17.275","-132.49020941237","0.00905605940262812","0.13846980952475","-131.19872153454","19.3430153864256","2.92096493904281"
"111","80","BY4743","YPD","diploid","10.1559906247308","29.5","-0.748814936725068","27.9125","-296.577876855453","0.00370624664319003","0.10356692180487","-297.326691792178","31.2631779281749","3.13953037413896"
"112","73","BY4743","YPD + CLS80 Day 2 SC 2% D Replicate A","diploid","10.7382550614893","30","-1.32492491945681","30.0958904109589","-274.663838514439","0.00322551568083847","0.0988222660630973","-275.988763433896","33.6241135029536","3.18739835697101"
"113","22","BY4743","YPD + CLS80 Day 4 SC 2% D Replicate A","diploid","11.7063641255072","27.5","-1.29739557738179","26.0909090909091","-84.9635396965307","0.00893408328594981","0.0711321532597594","-86.2609352739125","28.9913239342579","2.25110916176322"
